English,Ao,label
"Moses told them, “Do not be afraid, for God has only come to test you. He wants you to be in awe of him so that you don't sin.”","mosai nüburtem dang langzü, “tetsübuma, ibai nenok temenen memenai tsüngrem dang tashi anga alitsü atema nenok tendangtsü pa aruba lir.”",NOT
"The people stood a long way off as Moses went over to the thick, dark cloud where God was.","saka nüburtemi ojita nung noktaka ata, saka mepet temelemdak kong tsüngrem liasü aji anasabo mosa dang ao.",OFF
You must not make any idols of silver or gold to worship in addition to me.,nenoki kü dak alema taribi mesüra hon tsüngremtem kecha meyanglutsüla.”,NOT
"Make me an altar of earth, and sacrifice on it your burnt offerings and peace offerings, your sheep, goats, and cattle. Wherever I decide to be worshiped, I will come to you and bless you.","ni asoshi ali agi tenladak sabang ka yangluang aser iba manungji tarongba tenla, yimjung tenla nenok san aser nashi tenla-ang; kongsa kü tenüng bilemtetdaktsütsü asoshi tekülemdak ni shimdir, ni ne dangi arutsü aser na moatsütsü.",OFF
"Now if you make an altar out of stones for me, you must not build it with cut stones, because if you use a chisel to cut the stone, you make it unholy.","nai kü nem tenla sabang ka lung agi yanglutsürabang lungji angenteta meyanglutsüla, kechiaser lung tangentettsü osetji mekanga tura nai aji menendaktsür.",NOT
"Also, you must not go up to my altar using steps, so your private parts are not seen.’”",mesüra na mangsa aliba mungudaktsütsü atema nai kü tenladaki mejaketa matutsüla.,NOT
"However, if the slave formally states, ‘I love my master and my wife and children; I do not want to be freed,’","saka alar jagi ni kü kibur, kübutsü aser kü chirtem meimer, aser nüji küma moner ta shira,",NOT
"If a man sells his daughter as a slave, she is not to be freed in the same way as male slaves.","“nisung kati pei jala alar asütsü asoshi yokra, lar teburtem ama labo nüji küma meyoktsü.",NOT
"If the man who chose her for himself is not pleased with her, he must let her be bought back. He is not permitted to sell her to foreigners, since he has been unfair to her.","lai pei kibur shibai pei asoshi la ayu, pa mepeladaktsüra, idangjibo pai la meyipa alangzüktsütsüla; kiburi la dang timi mebenshi nungji pai la bendanger dang ayoktsü pa dak tashi malitsüla.",NOT
"If he takes another woman, he must not reduce the food and clothing allowances and marital rights of the first.","nisung kati kinungtsü anabuba agira, pai mezüng agiba kinungtsü nem chiyungtsü, süoshi aser la kiyimba tim shilem ajema mekümdaktsütsüla.",NOT
"But if someone deliberately plans and purposely kills another, you must take them away from my altar and execute them.","saka nisung kati asa-a dang pei kiyonger tepsettsü tasa asara, kü tenla sabang nungi pai anir oa pa südaktsütsüla.",NOT
"If men who are fighting happen to hit a pregnant woman so she gives birth prematurely, but no serious injury occurs, he must be fined whatever amount the woman's husband demands and as permitted by the judges.","“teburtem raratepdang mashisa aliba tetsür ka dak zükshia tanurji ano jungi südaktsüra, saka la dak tamajung kecha matalokra; tetsürla kinungpui pa dang meshiba ama atangji pa dang senchi achitsüla, aji obendangeri lemtettsüba ama pai agütsütsü tim.",HOF
"If an ox uses its horns to kill a man or woman, the ox must be stoned to death, and its meat must not be eaten. But the owner of the ox won't be punished.","“nashi pungchi kati tebur mesüra tetsür kar dak tasütsüsa tongra, aji lung agi onsettsüla, aser iba shiji machitsüla. saka kiburjibo memerenshitsüla.",NOT
"If someone's ox injures another's ox and it dies, they must sell the live one and share money received; they must also share the dead animal.","aser nisung kar meyong nashi pungchi-i tangar shiruru yirutsüra aser aji südaktsüra, idangji taküm alibaji yoker senji tena lemdangtsü, aser tasüba shiruru kasa lemdangtsü.",NOT
"If someone asks a neighbor to look after a donkey, an ox, a sheep, or any other animal, but it dies or is injured or is stolen without anybody noticing,","“nisung kari pei kiyonger nem gado mesüra nashi, san, shiruru kar ayutsü agütsüra, aser shingaia mungui aji süadokra mesüra zübu ketra aser aridokadokra,",NOT
then an oath must be taken before the Lord to decide if the neighbor has taken the owner's property. The owner must accept the oath and not demand compensation.,"pai pei kiyonger oset nung amtak asü mamtak kibuba madang azüngashitsü tim; kibur jagi iba azüngashibaji agizüktsü tim, aser joko temenok magütsütsü.",NOT
"If it was killed and torn to pieces by a wild animal, the neighbor shall present the carcass as evidence and does not need to pay compensation.","saka shiruruji arem shirurui tepseta lira, nisungba jagi tanüngbaji kuli atema bener arutsüla, aser arem shirurui tepsetba atema pai temenok magütsütsü.",NOT
"If someone borrows a neighbor's animal and it's injured or dies while its owner is not present, they must pay compensation in full.","“nisung kari pei kiyonger nungi shiruru ka apura aser shiruru kiburji malidang aji yirura mesüra süadokra, nisungba jagi temenok agütsütsü tim.",NOT
"If a man seduces a virgin who is not engaged to be married and sleeps with her, he must pay the full bride-price for her to become his wife.","“nisung kari tasüngtet aser ano ani masüngi aliba aiür mesüzüka la den nüktapangtara, pai la atema anisen agütsütsüla aser la agitsüla.",NOT
You must not allow a woman who practices witchcraft to live.,“nai arasentsür shinga taküm melidaktsütsüla.,NOT
You must not exploit or mistreat a foreigner. Remember that you yourselves were once foreigners in Egypt.,"“nai aener dang tamajung tebenshi, mesüra parnok tekangshi, nenok ijip lima nung aenersa liasü ta bilemtetang.",NOT
You must not take advantage of any widow or orphan.,“amitsür mesüra lajar tekangshi.,NOT
"If you lend money to any of my people because they're poor, you must not behave as a moneylender to them. You must not charge them any interest.","“nenok den aliba kü nübur sensaker kar nem nai sen aputsüra, sen taputsür ka ama nai pa dang tebenshi aser pa nungi sentem magitsüla.",NOT
"because it's the only clothing he has for his body. What would he sleep in otherwise? If he calls out to me for help, I will listen, for I am considerate.","kechiaser pa asoshi aji dang tabentsü sü lir. pa kechi nung mejangtsü? kodang pai teyari asoshi ayimtendir, ni pa dang langzütsü, kechiaser kü dak taochi lir.",NOT
You must not despise God or curse your people's leader.,nai tsüngrem sensamasa masütsüla mesüra ne nübur madak yimsüsür atakatem masütsüla.,NOT
"You must not hold on to the required offerings of your produce, olive oil, and wine. You must give me the firstborn of your sons.","“ne tsük, yi aser oliv totzü nungi kü dang tenlatsü temenu. ne mezüng asoba jabaso kü nem agütsütsüla.",OFF
You are to be holy people to me. You must not eat any animal carcass that you find in the countryside that has been killed by wild animals. Throw it to the dogs to eat.”,"“nenok kü temeshi nüburtem asütsü, anungji nenoki arem shirurui tepsetba shiruru shi kecha machitsüla; saka nenoki aji azü nem agüjang.",NOT
“You must not spread stories that are lies. You must not help bad people by giving evidence that's malicious.,"“nai tiyazü osang teprokshi, aser tamajunger ka asoshi tiyazü kuli ajanga teyari.",NOT
"If you come across your enemy's ox or donkey that has wandered off, take it back to him.","nai ne tsükchir nashi mesüra gado lenmang aia oya ajurura, pa dangi aji anir arujang.",OFF
"If you see the donkey of someone who hates you that has fallen under its load, don't just leave it there. You must stop and help.","ne dang sempaba nisung ka meyong gadoji khu agi neneter mepitaka ngura, nai ibaji ajanga odangbo maotsüla, saka aji yaritsüla.",HOF
You must not prevent the poor from getting justice in their lawsuits.,nai obendangdak sensaker anema ochiji temeyipsatsü,NOT
"Don't abuse foreigners living among you, since you know very well what it's like to be foreigners, for you were once foreigners in Egypt.","“nenoki aener tekangshi, kechiaser nenok ijip lima nung aenersa liasü, anungji aener mulungjang nenoki meteta lir.",OFF
Make sure to pay attention to everything I've told you. Don't think to call on the names of other gods—you must not even mention them.,"“ni nenok dang ashiba ajak angang: tangar tsüngremtem tenüng tetetshi, mesüra ne tebang nungi shinga nema tangashidaktsü.”",NOT
"You are to observe the Festival of Unleavened Bread as I instructed you. You are to eat bread without yeast for seven days at the appropriate time in the month of Abib, because that was the month you left Egypt. No one can come before me without bringing an offering.","ni nenok dang melaba ama: piyazü meinokba am benjong nenoki amungtsüla. anogo tenet tashi piyazü meinokba amtsük chiang. ibaji ahib ita anogo shitak nung amungtsüla, kechiaser iba ita nung nenok ijip lima nungi adok. anungji shinga kü tsüngdangi teka tazüng marutsüla.",OFF
"You must not offer the blood of my sacrifices together with anything that contains yeast, and the fat from the offerings presented at my festival must not be left until morning.",“ni asoshi tetepsetba tenlaba zü den piyazü enokba am metenlatsüla. item benjong nung ni atema tepsetba shiruru temoji anepdang tashi mayutsüla.”,OFF
"You must not bow down to their gods or worship them or follow their pagan practices. No, you must demolish their idols and smash their sacred pillars into pieces.","parnok tsüngremtem tsüngdang tapudak, mesüra tekülem, aser par yimsü-yimbongtem tebenshi. parnok tsüngremtem aser par tekülemba temeshi tongshitemji anüka raksajang.",NOT
"You are to worship the Lord your God, and he will bless your food and water. I will make sure none of you fall sick.","aser nenoki nenok tsüngrem kibuba tenzüktsü, aser pai ne chiyungtsü aser tzü moatsütsü: aser nenok rongnung tashitak ajak agienadoktsü.",NOT
No woman will have a miscarriage or be without children. I will make sure you live long lives.,ne linük nung shingaia pei-i tanur abenba meraksatsü mesüra tapung makümtsü. ni ne nem arishi talang agütsütsü.,NOT
"I will not drive them out in just one year, because the land would become desolate and you would have to deal with increased numbers of wild animals.","ni parnok küm ka nung dangbo maridoktsü, yamaji mesüra alimaji azüngazünga küma na asoshi arem shirurutemji tali züintsü.",NOT
You must not make any agreement with them or with their gods.,parnok den mesüra parnok tsüngremtem den nai kecha tezüngzüktepba mayutsüla.,NOT
"They must not be allowed to stay in your land, otherwise they will lead you to sin against me. For if you worship their gods, they will definitely become a trap for you.”","ni anema parnoki na temenen menadaktsütsü asoshi, nai ne linük nungji parnok telidaktsü. nai parnok tsüngremtem külemra, aji na asoshi sang ka asütsü.”",NOT
Only Moses may approach the Lord—the others must not come near. The people may not go up the mountain with him.”,ne dak alema tangar shinga ni anasai marutsüla. nüburtemji keta tenem jagia matutsüla.”,NOT
Then he sent out some young Israelite men who went and offered burnt offerings and sacrificed young bulls as peace offerings to the Lord.,aser pai israel asangurtem kibuba dang tarongba tenla aser nashi pungchi tepseta telungjem tenlatem agütsütsü yok.,OFF
"But God did not harm the leaders of Israel—they saw him, and they ate and drank a sacred meal.","tsüngremi item israel lenirtem madak pa teka memekang, aser parnoki tsüngrem angu; aser parnoki chia ajem.",NOT
“Instruct the Israelites to bring me an offering. You are to receive my offering from everyone who willingly wants to give.,“ni asoshi israel nungeri tenla ka ka benang ta dang shiang. nisung shiai pei mulungtetba ama kechi tenladir aji agizükang.,OFF
"Cast four gold rings and attach them to its four feet, two on one side and two on the other.","aser idakji hon tayi pezü ketdakjang aser aji tetsüng pezü nungji külen tayi ana, aser külen ana ta akettsüla.",NOT
"The cherubim are to be designed with spread wings pointing upward, covering the atonement cover. The cherubim are to be placed facing each another, looking down towards the atonement cover.","aser cherubimji parnok tashikang agi akhümbanger, parnok tashikang azüklen sarar alitsüla.",NOT
"Make plates and dishes for the table, as well as pitchers and bowls for pouring out drink offerings. Make all of them out of pure gold.","hon temeja agi nai su, marok aser tezüoktsüba marok, susatem tezüoktsü asoshi yangluang.",OFF
"Make ten curtains for the Tabernacle of finely-spun linen, using blue, purple, and crimson threads. Have them embroidered with cherubim by someone who is skilled.","“ano, nai tekülemdak sükiji teyindangba sü ter dena yangluang, temechiba kümpa sü tanük, anüng sentsü, nakrema meremba aser jakja-a meremba sentsü, cherubim keter tetangshi mapa inyaker mapa ama nai yangluang.",OFF
"Make fifty loops on one curtain and fifty loops on the last curtain of the second set, lining up the loops with each other.","teyindangba sü ka nung nai tepungoktsü tenem yangluang, aser tanabuba temetentep teyindangba sü tatembang nungji tepungoktsü tenem nai yangluang.",NOT
Join five of the curtains together as one set and the other six as another set. Then fold the sixth curtain in two at the front of the tent.,"nai teyindangba sü pungu balaka aser tanga teyindangba sü trokji balaka nung ta metentepang, aser süki tejaklen asoshi teyindangba sü trokbubaji reptepang.",NOT
"Make a covering for the goat hair tent from tanned ram skins, and place an extra covering of fine leather over that.","aser süki tenembangtsü asoshi san tepung küp temerem küma remer, aser iba manung shiküp tajung agi temeyibangtsü nai yangluang.",OFF
"Make a courtyard for the Tabernacle. For the south side of the courtyard make curtains of finely-spun linen, a hundred cubits long on one side,","“nai tekülemdak süki kima yangluang: anüolentip asoshi külen tsütsü kima atema temechiba kümpa sü tajung, süklep noklang ka tip külen asoshi sangzüa alitsüla;",OFF
"Make the curtains on one side fifteen cubits long, with three posts and three stands,","kikümdong külen asoshi teyindangba süji süklep metsü: anüng sentsü, nakrema meremba, tezüng sü temerem, aser temechiba sü tanük, sü dak noksa enoker inyakba mapa aser item asoshi tongshi pezü den tesembangtsü pezü agitsüla.",NOT
"The whole courtyard is to be a hundred cubits long and fifty cubits wide, with curtains made of finely-spun linen five cubits high, and with bronze stands.","kima lenten metong nung süklep noklang ka, lenten nung süklep tenem, aser touchi süklep pungu asütsüla. teyindangba süji temechiba sü tajung aser tesembangtsüji yongmenyin asütsüla.",OFF
"They are to make the ephod of finely-woven linen embroidered with gold, and with blue, purple, and crimson thread, skillfully worked.","“temeshi sobutsüji anüng sentsü, nakrema meremba, tezüng sü temerem, aser kümpa sü tanük tajung agi sangra-a mechitepa yanglutsüla.",OFF
"six names on one stone and six on the other, in birth order.",parnok jakzükba ama tatongi shia lung ka nung trok aser tanüngba trokji lung ka nung angenpoka züluang.,NOT
"Aaron will wear it on his forehead, so that he may take responsibility for the guilt of the offerings the Israelites make, and this applies to all their holy gifts. It must always remain on his forehead in order that the people are accepted in the Lord's presence.","aron tenütsü manung ibaji alitsüla. anungji israel nüburtemi kü dang aibelena tenla kar agüjaka, ni kibuba i, parnok tenlaji agizüktsü.",OFF
"Aaron and his sons are to wear them when they enter the Tent of Meeting or when they approach the altar to serve in the Holy Place, so that they will not bring guilt on themselves and die. This is a law for Aaron and his descendants forever.","aser kodang parnoki temeshi daki kü dang mepitsü asoshi yidir mesüra kodang parnoki temeshi daki anasa külemtsü asoshi arudir, itemji aron aser pa jabasotem dak alitsü; angji parnok dak tai matutsü aser masütsü; aji teti asoshi pa aser pa dak jakzükbatem asoshi ozüng alitsü.",NOT
Now this is how you are to proceed to dedicate them to serve me as priests. Take a young bull and two rams with no defects.,“parnokji meshiteta putir mapa nung kü madang tenzüktsü asoshi nai yamai aron aser pa jabasotem dang inyaktsüla. tarak maket nashi pungchi ka aser san tepung ana agitsüla.,NOT
"Put them all in a basket, and bring them as an offering, along with the bull and the two rams.","itemji molok ka nung bendenang, aser nai aji nashi pungchi aser san ana denji külemi kü nem tarongba tenla agüjang.",OFF
"But burn the bull's meat, its hide, and its excrement outside the camp—it is an offering for sin.","saka shi, teküp aser jana, tanendak tezülen rongang. aji temenen tenla lir.",OFF
Next have Aaron and his sons place their hands on the head of one of the rams.,"“san tepungji ka agiang, aser aron aser pa jabasotemi san tepung kolak dakji teka agi nemetdakjang.",NOT
Then burn all of the ram on the altar. It is a burnt offering to the Lord to be accepted by him.,"san tepung ajongaji tenladak sabang manung rongang; aji kibuba dang tarongba tenla lir, ya teronem tajung asoshi mi agi kibuba dang tenlaba lir.",OFF
Give all of them to Aaron and his sons to wave before the Lord as a wave offering.,"item chiyungtsü ajakji aron aser pa jabasotem teka nung amokjang, aser aji kibuba tsüngdang tayipshiba tenla ka ama ayipshiang.",OFF
Then take the different breads back and burn them on the altar on top of the burnt offering to the Lord to be accepted by him.,"parnok ket nungi nai itemji agia aji tenladak sabang manungji kibuba dang teronem tajung asoshi rongang, ibai kü dang mi agi tenlaba lir.",OFF
Take the breast of the ram of Aaron's ordination and wave it before the Lord as a wave offering. This is the part you can keep.,aroni meshitettsüba san tepung tekuji nai alangtetang aser aji tayipshiba tenla ama kibuba madang ayipshiang aser aji ne shilem alitsü.,OFF
"Set apart for Aaron and his sons the breast of the wave offering and the thigh of the offering that is lifted up, both taken from the ram of ordination.","tayipshiba tenla kü nem agütsüba san tepung teku aser tepi koba putir shilem lir, aji aron aser pa jabasotem asoshi lir.",OFF
"From now on whenever the Israelites lift up peace offerings to the Lord, these parts will belong to Aaron and his sons forever as a regular share from the Israelites.","aji israel chirtem nungi aron aser par jabasotem teti asoshi parnok shilem alitsü, kechiaser aji angati agütsüba tenla ka lir, ya israel purtem nungi parnoki yimjung tenla lir, oda kibuba dang parnok tenlaba lir.",OFF
"They are to eat the meat and the bread that were part of the offerings that symbolized the forgiveness required for their ordination and dedication. No one else may eat them, because they are holy.","temenen tatokba asoshi tenla koba bendanga agütsü, aji parnoki achitsüla. parnok dak alaka tangar shingaia aji achitsü makok kechiaser ibaji temeshi lir.",OFF
"If any of the meat of ordination or any bread remains until the morning, burn what's left. It must not be eaten, because it's holy.","iba bendanga agütsüba shi mesüra amtsükji kar anepdang tashi anüngra aji, mi agi rongtoktsüla; ibaji machitsüla kechiaser aji temeshi lir.",NOT
Every day you are to sacrifice a bull as a sin offering for forgiveness. When you do this the altar needs to be purified. Anoint it to make it holy.,"anogo shia temenen pungiba tenla nashi pungchi ka ka tenlatsüla. iba jagi tenladakji meshitettsü, aser aji meshiteta kümdaktsütsü asoshi totzü mezüang.",OFF
"You are to offer two lambs that are a year old on the altar, daily and continually.",“tenladak anogoshia küm ka techanu san ana-na tenlatsüla.,OFF
"In the morning offer one lamb, and offer the other one in the evening before it gets dark.",sanji anepdang ka aser nikongdang ka ta tenlatsüla.,OFF
"With the first lamb also offer a tenth of an ephah of best quality flour, mixed with a quarter of a hin of olive oil, and a drink offering of a quarter of a hin of wine.","mezüngbuba san dakji amzü seret ka totzü temeja hin ka den meyokteper tenlatsüla, aser ano tajemtsü tenla asoshi yi hin ka shilokjang.",OFF
"Then offer the second lamb in the evening, with the same grain and drink offerings as in the morning, a burnt offering to the Lord and accepted by him.","san tanabubaji nikongdang tenlatsüla, aser anepdang tenla nung agütsüba ama iba denjia amzü, totzü aser yiji agütsütsüla. ibaji ni asoshi chiyungtsü tenla amato lir; ni kibuba i iba mi agi tenlaba teronem nungji pelatsü.",OFF
These burnt offerings will be made continually for all generations at the entrance to the Tent of Meeting in the Lord's presence. I will meet you there to speak with you.,putu ajak nung kü dang nenoki süki kikümdong nung ibai arongtsüla. aser ni idakji kü nüburtem den ajurutepa nenok den jembitsü.,OFF
"Don't offer on this altar any unapproved incense or any burnt offering or grain offering, and do not pour out a drink offering upon it.","iba manung memeshitetba liangmesen, mesüra tarongba tenla, mesüra chiyungtsü tenla kecha nenoki metenlatsüla. ano nenoki iba manung tajemtsü tenla kecha meshiloktsütsüla.",OFF
Once a year Aaron must perform the atonement ritual by placing blood on the horns of the altar from the sin offering for atonement. This yearly atonement ritual must be carried out for generations to come. This is the Lord's holy altar.”,temenen pungitsü asoshi tenlaba shiruru azüji sabang nung tezü dakji rüklokja küm nung khen aroni sabangji meshitettsüla. küm shia teti nenoki yamaji inyaktsüla. kibuba dang ibai temeshitiba sabang alitsü.”,OFF
"Each one who crosses over to those counted must give a half shekel (using the sanctuary shekel standard, which weighs twenty gerahs). This half shekel is an offering to the Lord.","yongsük nung dena alir shiai tekülemdak amshiba touzük amato shekel tesadang ka agütsütsüla, aser iba nungjagi kibuba nem shekel tesadang ka tenla agüjang.",OFF
This offering to the Lord is required from everyone twenty years old and more.,shirnok yongsük nung dena lir küm metsü nungi temalen züngsem shiai kibuba meyong tenlaji agütsütsüla.,OFF
When you give this offering to buy back your lives the rich are not to give more than a half shekel and the poor are not to give less.,"taküm tenla temenen nungi pungitsü asoshi kibuba nem kodang parnoki tenla agütsüdir, shekel tesadang ka dak tali takari magütsütsüla aser sensakeria ajema magütsütsüla.",OFF
"Whenever they enter the Tent of Meeting, they are to wash with water so that they will not die. When they approach the altar to present burnt offerings to the Lord,",oda parnok süki mesüra tenla sabangi kibuba dang mi agi tenlaba tenlatsü asoshi arudang parnok masütsü asoshi parnoki iba tzü jagi shitoktsüla.,OFF
they must also wash so that they will not die. This requirement is to be observed by them and their descendants for all generations.”,parnok masütsü asoshi parnok teka aser tetsüng shitoktsüla. iba ozüng ya parnok aser parnok semchirtem asoshi teti benshitsüla.”,NOT
"the altar of burnt offering and all its utensils, and the basin plus its stand.","tarongba tenla sabang aser idakji aliba marok-enrok, aser tamentakdak item ajak nung mezütsü asoshi nai aji amshiang.",OFF
Dedicate them so that they will be especially holy. Whatever touches them will become holy.,"aji ajak dang temeshitiba asütsü asoshi nai itemji meshiteta yuang, aser item dak kechi agisa kongshidir itemjia temeshi alitsü.",HOF
"the altar of burnt offering with all its utensils, and the basin plus its stand;","tarongba tenla sabang aser iba osettem, shitoktsü asoshi tzü ayuba susa aser iba tamendaktsü;",OFF
You shall keep the Sabbath because it is holy to you. Anyone who dishonors it must be killed. Anyone who works on that day must be cut off from their people.,"amungnüji meshiteta mungang kechiaser nenok asoshi ibai temeshi lir. kari iba anogo memungi mapa kar inyakra, iba nisungji pei nüburtem rongnungi leptoktsü.",OFF
So everyone took off the gold earrings they were wearing and brought them to Aaron.,anungji nisung ajaki pei pei hon küriji aron dangi bener aru.,OFF
"Early the next day they sacrificed burnt offerings and presented peace offerings. Then they sat down to celebrate with eating and drinking. Then they got up to dance, and it became like an orgy.","tasüngji parnoki yakta shishia tarongba tenla asoshi shiruru ka anir aru, aser yimjung tenla agütsü. iba sülen parnoki külemi mener chia ajem aser kati ka den asayateptsü tenzük.",OFF
"They have been so quick to abandon the way I ordered them to follow. They have made a metal bull calf idol for themselves, bowing before it in worship and offering sacrifices to it. They're saying, ‘These are the gods that brought you out of the land of Egypt.’”","ni melaba lenmang nungi parnok meyipogo, parnoki hon agi nashi süngyanglu ka muluteta iba nemji tarongba tenla agüja külemdaki. ibaji parnok tsüngremtem, shibai parnok ijip lima nungi anir aru ta parnoki ashir.",OFF
Now leave me! I am angry with them—let me finish them off! I will make you into a great nation.”,anungji kü ain tulu parnok anema adoka parnok samatsütsü asoshi tang kü kija tokjang. aser ni na agi kin tulu ka kümdaktsüdi.”,OFF
"Why should the Egyptians be able to say, ‘He brought them out with the evil purpose of killing them in the mountains, wiping them off the face of the earth’? Turn from your fierce anger. Please change your mind over the threat against your people.","tamajung atema pai parnok anizüka anir aru, tenem nung parnok tepsetdaktsütsü, aser ali jak nungi pai parnok samadaktsütsü atema ta kechiba ijip nunger nem jembidaktsütsü? na tetsübutsü ain aitba nungi meyipang, aser ne nübur anema tamajung inyaktsü aliba nungi ne mulung melenshiangma.",OFF
"But Moses replied, “These are not the shouts of victory or of defeat. What I'm hearing is people partying!”","saka mosai langzü, “ola ya takok anguba ola masü mesüra tamakok anguba ola-a masü, saka ya kentenba ola ka ama nibo angashir.”",NOT
"So I said to them, ‘Anybody who has gold jewelry, take it off and give it to me.’ I threw the gold into the furnace and out came this bull calf.”","aser ni parnok dang shiba ket nungsa hon agi yangluba osettem ali aji bener arung ta ashi, aser shirnok ket nungsa itemji liasü parnoki aji bener arua kü nem agütsü. aji ni mi nung enoktsü, aser iba nungjagi nashi süngyanglu ya adok.”",OFF
"Now go and lead the people to the place I told you about. Look, my angel will go before you, but at the time I decide to punish, I will punish them for their sin.”",anungji tang luang aser ni ne dang tuyuba linük jagi nüburtemji anir aramesoang. ajiang kü tenyar ne jakdang aotsü; aji saka parnok temenen atema ni parnok merenshitsü anogo arudagi.”,NOT
"Enter a land flowing with milk and honey, but I will not accompany you because you are a rebellious people. Otherwise I would destroy you on the way.”","nenok ali temo aser ninang mojitzü yima aliba lima kati aor. saka nenok tekong temerang asünung, ni nenok lenmang nung samaja lir ta nibo nenok den maotsü.”",NOT
So the Israelites took off their jewelry from the time they left Mount Sinai.,anungji horeb tenem toktsür aodang israel nungeri joko kisen küri naro magi.,OFF
"Now if it's true that you're happy with me, please teach me your ways so I can get to know you, and go on pleasing you. Remember that the people of this nation are yours.”","tang ni ne jakdang taochi ngura, ne lenmangtem kü dang sayuang, anungji ni na metettsü, aser na nungi ni maneni taochi angutsü. ano iba kin ya ne nübur asütsü asoshi nai shimtet ta bilemtetangma.”",NOT
"Nobody else can come up with you—I don't want to see anyone anywhere on the mountain, and no flocks or herds should graze at the foot of the mountain.”","ne den shinga matutsüla, aser tenem anasa nisung shinga mungudaktsütsüla, oda san telok mesüra nashi telok kecha tenem tsüng nungji mechiyimdaktsütsüla”.",NOT
"I go on showing my trustworthy love to thousands, forgiving guilt, rebellion, and sin. But I will definitely not clear the wicked—the impact of sin will affect not only the parents, but also their children and grandchildren, up until the third and fourth generation.”","meyirijangsa meyirijang asoshi taochi sayur, tai, ozüng raksaba aser temenen asoshi tai atoker, saka aji agi kodanga tai menaba meshiteta mekümdaktsür; tsürabur tai atema chirnur dak, semchisemnur dak, putu asembuba aser pezübuba dak tashi mang ayanger.”",NOT
"The Lord said, “Look, I'm making an agreement with you. Right in front of all of you I will do miracles that have never been done before—not among anyone anywhere on earth. Everyone here and those around will see the Lord at work, for what I'm going to do for you will be incredible.","idangji kibuba i mosa dang ashi, “tang ni israel nunger den tezüngzüktepba tasen ka yanglur. parnok jakdang ni sayatenya mapa tulu ka, oda alima nung shinga kin daka meinyakba mapa ka ni inyaktsü. ni kibuba i kechi mapa tulu inyaktsü ali, aji nisung ajaki angutsü, kechiaser ni nenok asoshi inyaktsü alibaji tetsübutsü mapa ka lir.",NOT
"because you must not worship any other gods than the Lord. His name stands for being exclusive, because he is a God who demands an exclusive relationship.","“nenoki tangar tsüngrem kecha tekülem, kechiaser ni kibuba tenükmiba tsüngrem lir.",NOT
"You can redeem the firstborn of a donkey with a lamb, but if you don't, you must break its neck. All your firstborn sons must be redeemed. No one is to come before me without an offering.","saka nenoki mezüng mepuba gado shia san chanu ka agi alangzüktsüla. nai aji malangzükra, iba tekongji raksatsütsüla. mezüng asoba jabaso ajak alangzükang aser shinga teka tazüng kü dangi marutsüla.",OFF
"Observe the Festival of Weeks when you offer the firstfruits of wheat harvest, and the Harvest Festival at the end of the agricultural year.","“kodang alu nung nai prokba nungi metsü arutsü mapang tongdir, nai hapta benjong mungang, aser küm tatem nung kodang ne metsütem alu nungi bendendir, terizüngba benjong mungang.",OFF
"Don't offer bread made with yeast when you present a sacrifice to me, don't keep any sacrifice from the Passover Feast until the morning.",“kü tenla tepsetba züji nenoki piyazü enokba amtsük den magütsütsüla; mesüra süia aoba benjong atema tepsetbaji anepdang tashi metoktsütsüla.,OFF
"However, whenever Moses went in to talk with the Lord, he would take off the veil until he came out again. Then he would tell the Israelites the Lord's instructions,","kodangsa mosai sentep süki-i kibuba den jembitsü odir pai süji luzüka ayu, aser pa adoka pa dang melaba ajak israel purtem dang ashi,",OFF
"Collect an offering to the Lord from what you have. Everyone who wants to should bring an offering to the Lord: gold, silver, and bronze;","kibuba dang tenla benang. nenok nisung shia pei mulungba ama hon, taribi mesüra yongmenyin;",OFF
"the altar of burnt offering with its bronze grate, its poles and all its utensils; the basin plus its stand;","tarongba tenla tenladak yongmenyin menja, iba süngra aser tamentakdak, teka shitokba susa aser iba tamentakdak;",OFF
"and all those who felt moved to do so and who had a willing spirit came and brought an offering to the Lord for the work making the Tent of Meeting, for everything required for its services, and for the sacred clothing.","aser sentep süki mapa asoshi, aser iba mapa ajak asoshi, aser temeshi sobutsü asoshi, nisung shiai pei mulung aser tanela agi ajungshiba shiai kibuba dangi bener aru.",OFF
"So everyone who was willing, both men and women, came and presented their gold as a thanks offering to the Lord, including brooches, earrings, rings, and necklaces—all kinds of gold jewelry.","tebur aser tetsür kwikati mulungsoa liasü, parnok arur sü nung tulokba, tenarong nung anuba küri, tenüng ajenba küri azük aser prangshiba hon tapu ajak bener arua kibuba nem bendanga agütsü.",OFF
Those who could present an offering of silver or bronze brought it as a gift to the Lord. Everyone who had acacia wood for any part of the work donated it.,"ano shirnok ket nungsa taribi mesüra yongmenyin agütsütettsüsa liasü, parnoki itemji kibuba dang tenla aser shirnoki akashia süng kibuba dang tenlatettsü koka liasü, itemji mapa tapu ajak nung amshitsü koka liasü.",OFF
All the Israelite men and women who were willing brought a freewill offering to the Lord for all the work in making what the Lord through Moses had ordered them to do.,"israel chirtemi temulunger tenla kibuba dangi bener aru; kibuba i mosa teka agi yanglutsü melaba amato, pei mulungjang nung ajungshiba tebur aser tetsür shiai mapa ajak asoshi benden.",OFF
